strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010300020403,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020404,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020405,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020406,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020501,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020502,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020503,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020504,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020505,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020506,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030103,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030104,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030105,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030106,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030201,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030301,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030302,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030303,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030304,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030401,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030402,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030501,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030502,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030503,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030601,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030602,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030701,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030702,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030703,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030801,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030802,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030803,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030804,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030901,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030902,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300030903,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
